Filename,q_flag,Time,Energy,File Size,Resolution,bpp
img_15360x8640_3x8bit_RGB_color_bars_CMYKWRGB,0,3.536854282,132.95,1527615,15360x8640,.0920
img_15360x8640_3x8bit_RGB_color_rainbow_gradient,0,5.433729320,217.73,10521035,15360x8640,.6342
img_15360x8640_3x8bit_RGB_color_rainbow,0,4.800229870,187.45,7861054,15360x8640,.4738
img_15360x8640_3x8bit_RGB_color_SMPTE_RP_219_2002,0,3.580711903,116.78,1239197,15360x8640,.0747
