Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;q_flag;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
building2;24;0,105281749;4,83;123950;640x512;3,0261;24;0,984429075;35,33807622;19,02272542;;;;;
building2;25;0,103273485;4,74;117330;640x512;2,8645;25;0,982425141;34,77390201;21,66158142;;;;;
building2;26;0,101642942;4,7;111578;640x512;2,724;26;0,980342937;34,27410133;24,30357869;;;;;
building2;27;0,101304811;4,69;106329;640x512;2,5959;27;0,978142465;33,81814946;26,99388631;;;;;
building2;28;0,099037266;4,58;101567;640x512;2,4796;28;0,975796488;33,38533801;29,82267253;;;;;
building2;29;0,098409194;4,51;97495;640x512;2,3802;29;0,973747342;32,99838138;32,60184835;;;;;
building2;30;0,098302995;4,6;93557;640x512;2,2841;30;0,971288837;32,61606475;35,60195821;;;;;
building2;31;0,094876627;4,45;88184;640x512;2,1529;31;0,967763867;32,09839764;40,1088857;;;;;
building2;32;0,094198716;4,44;82751;640x512;2,0202;32;0,963852876;31,56456925;45,35481873;;;;;
building2;33;0,093091283;4,45;78260;640x512;1,9106;33;0,959961107;31,10439054;50,42446594;;;;;
building2;34;0,092631012;4,34;74210;640x512;1,8117;34;0,956214341;30,68473035;55,54018555;;;;;
building2;35;0,091140179;4,23;69566;640x512;1,6983;35;0,951034652;30,20773802;61,9878479;;;;;
buildings;0;0,182677978;8,45;525035;768x512;10,6818;0;0,999335532;53,45657549;0,293374803;;;;;
buildings;1;0,166717404;7,39;397934;768x512;8,0959;1;0,99853026;48,56805159;0,904222276;;;;;
buildings;2;0,156898742;7,06;330425;768x512;6,7225;2;0,998071676;47,24441407;1,226419237;;;;;
buildings;3;0,152091152;6,75;285430;768x512;5,807;3;0,997543084;46,18776877;1,56424035;;;;;
buildings;4;0,14679599;6,45;255776;768x512;5,2037;4;0,996941809;45,28499025;1,925667657;;;;;
buildings;5;0,145609758;6,27;230868;768x512;4,697;5;0,996226678;44,39206957;2,365230136;;;;;
buildings;6;0,14232584;6,22;212401;768x512;4,3213;6;0,99538134;43,6184167;2,82643297;;;;;
buildings;7;0,141413379;5,89;195246;768x512;3,9722;7;0,99442775;42,8951959;3,338572184;;;;;
buildings;8;0,136322307;6,33;182446;768x512;3,7118;8;0,993414498;42,26364629;3,861141629;;;;;
buildings;9;0,134285233;6;169837;768x512;3,4553;9;0,992220873;41,62304829;4,474819607;;;;;
buildings;10;0,129928853;5,88;160250;768x512;3,2602;10;0,991032702;41,09375853;5,054806179;;;;;
buildings;11;0,126361266;5,75;151487;768x512;3,082;11;0,989772853;40,58027697;5,689219157;;;;;
buildings;12;0,121570785;5,46;143132;768x512;2,912;12;0,988344762;40,05503425;6,420619541;;;;;
buildings;13;0,118668268;5,27;136751;768x512;2,7822;13;0,986998203;39,63253998;7,076627943;;;;;
buildings;14;0,118761939;5,4;130596;768x512;2,6569;14;0,985540225;39,2375657;7,750394185;;;;;
buildings;15;0,114102399;5,19;125020;768x512;2,5435;15;0,984062345;38,84868019;8,476417542;;;;;
buildings;16;0,112224785;5,06;119327;768x512;2,4277;16;0,982284025;38,43371025;9,326299032;;;;;
buildings;17;0,111122613;5,08;114602;768x512;2,3315;17;0,980883251;38,08401651;10,10831367;;;;;
buildings;18;0,108883577;4,96;110350;768x512;2,245;18;0,979255096;37,76147276;10,88762326;;;;;
buildings;19;0,108724777;4,88;106373;768x512;2,1641;19;0,977755448;37,45892044;11,67315674;;;;;
buildings;20;0,108755917;5,04;102343;768x512;2,0821;20;0,976128723;37,12954323;12,59290822;;;;;
buildings;21;0,10520558;4,87;98957;768x512;2,0132;21;0,97454125;36,85570977;13,41248915;;;;;
buildings;22;0,104721368;4,86;95755;768x512;1,9481;22;0,972951957;36,59568498;14,24006144;;;;;
buildings;23;0,103565116;4,85;92733;768x512;1,8866;23;0,971390238;36,33785643;15,11105262;;;;;
buildings;24;0,102882464;4,98;89221;768x512;1,8152;24;0,969450259;36,03113105;16,21687826;;;;;
buildings;25;0,101483552;4,73;84047;768x512;1,7099;25;0,966271186;35,56129774;18,06968519;;;;;
buildings;26;0,10122074;4,77;79716;768x512;1,6218;26;0,963364944;35,16847586;19,78029548;;;;;
buildings;27;0,097874183;4,62;75814;768x512;1,5424;27;0,960191105;34,78074842;21,62746006;;;;;
buildings;28;0,0965843;4,57;72071;768x512;1,4662;28;0,95737525;34,41726089;23,51550293;;;;;
buildings;29;0,095320878;4,54;68847;768x512;1,4006;29;0,954222894;34,06194526;25,52030351;;;;;
buildings;30;0,094265045;4,49;65852;768x512;1,3397;30;0,951258659;33,75467774;27,39129639;;;;;
caps;0;0,147964803;6,84;350892;768x512;7,1389;0;0,998200604;52,85495664;0,336964925;;;;;
caps;1;0,124134261;5,61;226835;768x512;4,6149;1;0,995098081;48,5725448;0,903287252;;;;;
caps;2;0,112837726;5,14;173329;768x512;3,5263;2;0,993470656;47,48547376;1,160200331;;;;;
caps;3;0,106346183;4,88;136757;768x512;2,7823;3;0,991618261;46,52553228;1,447195265;;;;;
caps;4;0,101665392;4,69;114022;768x512;2,3197;4;0,989669558;45,77451445;1,720397949;;;;;
caps;5;0,098470565;4,55;95398;768x512;1,9408;5;0,987585156;45,02899558;2,042588128;;;;;
caps;6;0,094992407;4,71;82856;768x512;1,6857;6;0,985730088;44,44086606;2,338803609;;;;;
caps;7;0,092075681;4,33;73351;768x512;1,4923;7;0,984090529;43,88430846;2,658578661;;;;;
caps;8;0,088017472;4,17;66696;768x512;1,3569;8;0,982752448;43,45688045;2,93354204;;;;;
