filename,codec,q_flag,ssim,psnr,mse
artificial.png,JPEG,0,0.5343018669330909,18.765910629677986,863.9513705041674
artificial.png,JPEG,1,0.5343018669330909,18.765910629677986,863.9513705041674
artificial.png,JPEG,2,0.8149493716707273,24.15488177505337,249.79985581503973
artificial.png,JPEG,3,0.8661697529377738,27.04527786806647,128.39631928337946
artificial.png,JPEG,4,0.7692801913202928,28.734310588978545,87.02605602476332
artificial.png,JPEG,5,0.6984206117497979,29.144520473555914,79.18233664830525
artificial.png,JPEG,6,0.9192541605121064,30.991137910007826,51.75669903225369
artificial.png,JPEG,7,0.926064253985474,31.8129316168831,42.83385864893595
artificial.png,JPEG,8,0.8063274580496227,32.34458357069335,37.89849848217435
artificial.png,JPEG,9,0.9379531638282788,33.0994442355306,31.85194354587131
artificial.png,JPEG,10,0.9469801030745963,33.61576613151635,28.28158516354031
artificial.png,JPEG,11,0.9493006733082887,34.04131447138819,25.641823927561443
artificial.png,JPEG,12,0.869012264948803,34.247259685678316,24.454252507951523
artificial.png,JPEG,13,0.9581570158278305,34.87630867406645,21.156776269276936
artificial.png,JPEG,14,0.9591540085676087,35.13693311670897,19.92448245154487
artificial.png,JPEG,15,0.8764505157146367,35.25902122045745,19.37216854095459
artificial.png,JPEG,16,0.8318945684683486,35.226294266290395,19.518702030181885
artificial.png,JPEG,17,0.9658290864478588,35.969974661079654,16.446856180826824
artificial.png,JPEG,18,0.881731257621093,35.98849743177875,16.376859294043648
artificial.png,JPEG,19,0.8825325265733402,36.15163541793032,15.773091369205051
artificial.png,JPEG,20,0.9702781645464807,36.67465624201562,13.983462969462076
artificial.png,JPEG,21,0.9712288506882261,36.885318130185894,13.321359475453695
artificial.png,JPEG,22,0.8858114101856415,36.73158455767003,13.801360660129124
artificial.png,JPEG,23,0.9431518794603635,37.14905249678478,12.536465538872612
artificial.png,JPEG,24,0.9732049932929894,37.40191521739878,11.827387862735325
artificial.png,JPEG,25,0.9739618368573894,37.55885827029544,11.407606548733181
artificial.png,JPEG,26,0.9747317913863498,37.713294403729265,11.00907728407118
artificial.png,JPEG,27,0.9462564610140863,37.747100923450645,10.923712677425808
artificial.png,JPEG,28,0.976692168185266,37.9977589739396,10.311087290445963
artificial.png,JPEG,29,0.9771313983680743,38.09813415027931,10.075507852766249
artificial.png,JPEG,30,0.9781697990819784,38.236968891489454,9.758509106106228
artificial.png,JPEG,31,0.9484499344101404,38.28995174620472,9.6401809586419
artificial.png,JPEG,32,0.9793029841149242,38.52489477557708,9.132525285085043
artificial.png,JPEG,33,0.980157783632689,38.68009624195719,8.811923874749077
artificial.png,JPEG,34,0.9804043446704648,38.760362813646154,8.650557147132027
artificial.png,JPEG,35,0.9804307793559472,38.881913698928436,8.411801020304361
artificial.png,JPEG,36,0.9809705784662772,39.00844818522178,8.170253700680203
artificial.png,JPEG,37,0.9811575988859389,39.06613013402418,8.062455813090006
artificial.png,JPEG,38,0.982004502741367,39.195756506898,7.825366920895046
artificial.png,JPEG,39,0.9523180986120473,39.14322927779659,7.9205881754557295
artificial.png,JPEG,40,0.9524857909187407,39.19517705049898,7.826411088307698
artificial.png,JPEG,41,0.9829439897199251,39.47555579046711,7.3371058040195045
artificial.png,JPEG,42,0.9831592390802012,39.53566332263395,7.236257765028212
artificial.png,JPEG,43,0.9834039918388434,39.61032969293477,7.112911277347141
artificial.png,JPEG,44,0.983996122353855,39.72284381043503,6.9310012923346624
artificial.png,JPEG,45,0.984200946277073,39.784747003457454,6.8329093721177845
artificial.png,JPEG,46,0.9541429036508707,39.74426727574243,6.896895302666558
artificial.png,JPEG,47,0.9543129522837509,39.80048620769054,6.808191140492757
artificial.png,JPEG,48,0.954507904164263,39.85689451518489,6.7203347947862415
artificial.png,JPEG,49,0.9848896022894156,40.14251043320947,6.292588286929661
artificial.png,JPEG,50,0.9849720925452794,40.184879837686665,6.231496810913086
artificial.png,JPEG,51,0.9850497012001646,40.228212003456825,6.169630580478245
artificial.png,JPEG,52,0.9557169166025945,40.16679718656882,6.257496886783176
artificial.png,JPEG,53,0.9559133198987165,40.230126488710205,6.166911443074544
artificial.png,JPEG,54,0.9560933191173437,40.29751733775037,6.071956157684326
artificial.png,JPEG,55,0.9860315022438583,40.56787427997938,5.705489794413249
artificial.png,JPEG,56,0.9863158662552572,40.66236273185695,5.58269739151001
artificial.png,JPEG,57,0.9865451615708395,40.747603113115275,5.474192301432292
artificial.png,JPEG,58,0.9870347401135251,40.86425711744211,5.329109562767877
artificial.png,JPEG,59,0.987204135130462,40.93584419931534,5.241987016465929
artificial.png,JPEG,60,0.9873914632923516,41.016672428704226,5.1453286276923285
artificial.png,JPEG,61,0.9577281522099664,40.93783687898969,5.239582379659017
artificial.png,JPEG,62,0.9578960132079711,41.014292651792104,5.148148854573567
artificial.png,JPEG,63,0.9581529944507593,41.12435003302383,5.019325468275282
artificial.png,JPEG,64,0.9583186013835651,41.2000659223164,4.932575808631049
artificial.png,JPEG,65,0.9888340134430079,41.56582938049793,4.534166071150038
artificial.png,JPEG,66,0.9890343261367287,41.67138286382371,4.425293445587158
artificial.png,JPEG,67,0.9892665448641562,41.78507245550047,4.310951285892063
artificial.png,JPEG,68,0.9593280139778001,41.670994783123696,4.425688902537028
artificial.png,JPEG,69,0.9595298197939817,41.76904560349606,4.326889461941189
artificial.png,JPEG,70,0.9598564089944054,41.916804039893634,4.182153383890788
artificial.png,JPEG,71,0.9904414826991754,42.368146037187735,3.769343852996826
artificial.png,JPEG,72,0.9906397003920115,42.48596886698006,3.668457349141439
