Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;ssim;psnr;mse;;avg fs;min fs;max fs;median
artificial;78;0,072261631;3,86;1065253;3072x2048;1,3545;0,992486869;43,57049687;2,857792377;;;;;
artificial;79;0,073474543;4,25;1084093;3072x2048;1,3784;0,992719698;43,74687984;2,744052251;;;;;
artificial;80;0,073070402;3,86;1112032;3072x2048;1,414;0,992987736;43,9723798;2,605207867;;;;;
artificial;81;0,073882125;3,99;1149801;3072x2048;1,462;0,993342931;44,24177791;2,448513879;;;;;
artificial;82;0,07594888;4,04;1175021;3072x2048;1,4941;0,993617182;44,47586304;2,320032438;;;;;
artificial;83;0,07610623;3,99;1219121;3072x2048;1,5501;0,993969977;44,74258612;2,181834221;;;;;
artificial;84;0,076000639;4,95;1251407;3072x2048;1,5912;0,994273033;45,03468068;2,039916039;;;;;
artificial;85;0,080505031;4,72;1278749;3072x2048;1,626;0,994536713;45,31972199;1,910328971;;;;;
artificial;86;0,076891342;4,29;1339301;3072x2048;1,703;0,994919921;45,69018914;1,754128668;;;;;
artificial;87;0,078133515;4,26;1372352;3072x2048;1,745;0,99518545;46,01488763;1,627764596;;;;;
artificial;88;0,078711156;4,41;1436105;3072x2048;1,8261;0,995564961;46,44548667;1,474116113;;;;;
artificial;89;0,082568146;4,63;1481604;3072x2048;1,8839;0,995864312;46,85614427;1,341114733;;;;;
artificial;90;0,080743391;4,38;1575618;3072x2048;2,0035;0,996265856;47,37763924;1,189368513;;;;;
artificial;91;0,08005556;4,24;1638842;3072x2048;2,0838;0,996584239;47,89088582;1,056797504;;;;;
artificial;92;0,087707679;5,04;1707091;3072x2048;2,1706;0,996920441;48,52256515;0,913742542;;;;;
artificial;93;0,08408297;4,34;1836651;3072x2048;2,3354;0,997302479;49,25392222;0,772125933;;;;;
artificial;94;0,086202556;4,74;1988948;3072x2048;2,529;0,997694362;50,13977126;0,629655838;;;;;
artificial;95;0,089049473;4,75;2176754;3072x2048;2,7678;0,998070967;51,15255772;0,498683029;;;;;
artificial;96;0,094502906;5,16;2389791;3072x2048;3,0387;0,998474795;52,5424851;0,362102773;;;;;
artificial;97;0,095381399;5,1;2644504;3072x2048;3,3626;0,998841608;54,22592446;0,245746824;;;;;
artificial;98;0,102725026;5,5;2914632;3072x2048;3,7061;0,99919588;56,60059281;0,142239783;;;;;
artificial;99;0,110949397;6,44;3394340;3072x2048;4,3161;0,999585024;60,42026656;0,059027407;;;;;
big_building;25;0,454178394;23,95;5956160;7216x5412;1,2201;0,950953867;34,10351869;25,2771725;;;;;
big_building;26;0,453513223;21,24;6144890;7216x5412;1,2587;0,952540311;34,25291604;24,42242343;;;;;
big_building;27;0,473289762;28,06;6323811;7216x5412;1,2954;0,954011559;34,39887641;23,61525935;;;;;
big_building;28;0,461976793;20,83;6530412;7216x5412;1,3377;0,955530468;34,55987681;22,75582995;;;;;
big_building;29;0,465573572;22,68;6677962;7216x5412;1,3679;0,956520881;34,66328535;22,22039763;;;;;
big_building;30;0,466866755;21,02;6847776;7216x5412;1,4027;0,957765309;34,7955599;21,55382593;;;;;
big_building;31;0,4803652;21,99;6995981;7216x5412;1,4331;0,958796288;34,91231773;20,9820824;;;;;
big_building;32;0,473678743;22,87;7151852;7216x5412;1,465;0,959926491;35,04257305;20,36212298;;;;;
big_building;33;0,47251882;20,46;7346205;7216x5412;1,5048;0,961067778;35,17773517;19,73816814;;;;;
big_building;34;0,486521274;26,29;7439659;7216x5412;1,524;0,961623714;35,24825527;19,42025079;;;;;
big_building;35;0,480270559;22,13;7666867;7216x5412;1,5705;0,962793402;35,38675887;18,81067906;;;;;
big_building;36;0,497392812;27,93;7829506;7216x5412;1,6038;0,963781913;35,51139242;18,27852383;;;;;
big_building;37;0,485597462;21,8;7913629;7216x5412;1,6211;0,96417279;35,56442002;18,05669902;;;;;
big_building;38;0,498598805;25,56;8147088;7216x5412;1,6689;0,965230203;35,70067748;17,49897509;;;;;
big_building;39;0,494079143;21,26;8284192;7216x5412;1,697;0,965851919;35,78755314;17,15240596;;;;;
big_building;40;0,511557307;24,56;8341670;7216x5412;1,7087;0,966133398;35,83052421;16,98352909;;;;;
big_building;41;0,493024031;22,26;8579060;7216x5412;1,7574;0,967174059;35,97375657;16,43254023;;;;;
big_building;42;0,499594837;23,23;8699914;7216x5412;1,7821;0,96757979;36,02906937;16,22457853;;;;;
big_building;43;0,501083221;21,81;8805689;7216x5412;1,8038;0,968088685;36,10683604;15,93663978;;;;;
big_building;44;0,510960856;22,36;9009875;7216x5412;1,8456;0,968868788;36,22262825;15,51734927;;;;;
big_building;45;0,537259071;25,56;9132740;7216x5412;1,8708;0,969251648;36,27905474;15,31704143;;;;;
big_building;46;0,512293049;21,93;9303765;7216x5412;1,9058;0,969985067;36,39044067;14,92919167;;;;;
big_building;47;0,514731225;24,81;9363463;7216x5412;1,9181;0,970290834;36,44446217;14,74463901;;;;;
big_building;48;0,517681862;21,82;9538511;7216x5412;1,9539;0,970687517;36,49809216;14,56368056;;;;;
big_building;49;0,517332302;23,66;9769110;7216x5412;2,0012;0,971476748;36,62761372;14,13575432;;;;;
big_building;50;0,517891503;22,01;9792896;7216x5412;2,006;0,971614065;36,65631274;14,04265051;;;;;
big_building;51;0,521930974;23,81;9819324;7216x5412;2,0114;0,971749983;36,6853511;13,94906989;;;;;
big_building;52;0,525997534;23,07;10069268;7216x5412;2,0626;0,972543882;36,81426568;13,54109525;;;;;
big_building;53;0,526140014;24,65;10260924;7216x5412;2,1019;0,972957698;36,87327937;13,35833786;;;;;
big_building;54;0,524186259;23,01;10332495;7216x5412;2,1166;0,973284564;36,93819438;13,16015252;;;;;
big_building;55;0,533683803;26,27;10455530;7216x5412;2,1418;0,973687285;37,01640787;12,9252685;;;;;
big_building;56;0,531148687;22,4;10631539;7216x5412;2,1778;0,974189448;37,10632601;12,6604097;;;;;
