Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,48984.0137978613
bikes,98,0.066194336,2.65,226910,768x512,4.6164,,,,
bikes,99,0.067166399,2.73,239986,768x512,4.8825,,,,
building2,0,0.031436519,1.18,11548,640x512,0.2819,,,,
building2,1,0.033815934,1.58,19772,640x512,0.4827,,,,
building2,2,0.035093668,1.29,22494,640x512,0.5491,,,,
building2,3,0.03572364,1.65,24924,640x512,0.6084,,,,
building2,4,0.035682179,1.31,26824,640x512,0.6548,,,,
building2,5,0.036550702,1.7,28752,640x512,0.7019,,,,
building2,6,0.036298241,1.35,30380,640x512,0.7416,,,,
building2,7,0.036864113,1.71,31702,640x512,0.7739,,,,
building2,8,0.037285964,1.4,33378,640x512,0.8148,,,,
building2,9,0.037021393,1.7,34504,640x512,0.8423,,,,
building2,10,0.037563295,1.41,36254,640x512,0.8851,,,,
building2,11,0.037973115,1.76,37892,640x512,0.925,,,,
building2,12,0.037853705,1.44,38836,640x512,0.9481,,,,
building2,13,0.038305726,1.75,40150,640x512,0.9802,,,,
building2,14,0.038915068,1.41,41282,640x512,1.0078,,,,
building2,15,0.039176108,1.88,42422,640x512,1.0356,,,,
building2,16,0.038903648,1.47,43506,640x512,1.0621,,,,
building2,17,0.039195999,1.88,44380,640x512,1.0834,,,,
building2,18,0.03955844,1.52,45098,640x512,1.101,,,,
building2,19,0.039355229,1.81,46822,640x512,1.1431,,,,
building2,20,0.039436989,1.52,48070,640x512,1.1735,,,,
building2,21,0.040408872,1.86,48886,640x512,1.1935,,,,
building2,22,0.039432729,1.47,49646,640x512,1.212,,,,
building2,23,0.040289591,1.85,50562,640x512,1.2344,,,,
building2,24,0.040190501,1.5,51516,640x512,1.2577,,,,
building2,25,0.040514941,1.86,52600,640x512,1.2841,,,,
building2,26,0.040262861,1.54,53966,640x512,1.3175,,,,
building2,27,0.040836672,1.89,55038,640x512,1.3437,,,,
building2,28,0.040660232,1.48,56372,640x512,1.3762,,,,
building2,29,0.041303544,1.87,57432,640x512,1.4021,,,,
building2,30,0.041601964,1.57,58582,640x512,1.4302,,,,
building2,31,0.041532534,1.88,59322,640x512,1.4482,,,,
building2,32,0.041739914,1.56,60554,640x512,1.4783,,,,
building2,33,0.042008395,1.93,62110,640x512,1.5163,,,,
building2,34,0.042199336,1.58,62314,640x512,1.5213,,,,
building2,35,0.042289376,1.97,62818,640x512,1.5336,,,,
building2,36,0.041745745,1.54,64442,640x512,1.5732,,,,
building2,37,0.042521117,1.96,65804,640x512,1.6065,,,,
building2,38,0.043077658,1.63,66768,640x512,1.63,,,,
building2,39,0.042817167,1.97,67340,640x512,1.644,,,,
building2,40,0.041818676,1.59,68734,640x512,1.678,,,,
building2,41,0.042886798,2,70252,640x512,1.7151,,,,
building2,42,0.042494977,1.63,70934,640x512,1.7317,,,,
building2,43,0.043206939,2.03,72106,640x512,1.7604,,,,
building2,44,0.043750329,1.63,72302,640x512,1.7651,,,,
building2,45,0.043665799,2.03,73084,640x512,1.7842,,,,
building2,46,0.04359303,1.64,74464,640x512,1.8179,,,,
building2,47,0.043551039,2,74656,640x512,1.8226,,,,
building2,48,0.043090218,1.62,75382,640x512,1.8403,,,,
building2,49,0.043663499,2.01,76774,640x512,1.8743,,,,
building2,50,0.04349907,1.66,77332,640x512,1.8879,,,,
building2,51,0.043962981,2.01,77962,640x512,1.9033,,,,
building2,52,0.04396728,1.72,79066,640x512,1.9303,,,,
building2,53,0.044264061,2.01,80162,640x512,1.957,,,,
building2,54,0.044662062,1.65,80936,640x512,1.9759,,,,
building2,55,0.044317741,2.04,81848,640x512,1.9982,,,,
building2,56,0.044279551,1.65,82310,640x512,2.0095,,,,
building2,57,0.044874173,2.01,83802,640x512,2.0459,,,,
building2,58,0.044905453,2.08,84084,640x512,2.0528,,,,
building2,59,0.045264753,1.66,85030,640x512,2.0759,,,,
building2,60,0.045034013,2.04,85766,640x512,2.0938,,,,
building2,61,0.044859063,1.69,87360,640x512,2.1328,,,,
building2,62,0.045504795,2.1,87360,640x512,2.1328,,,,
building2,63,0.045268214,1.67,88606,640x512,2.1632,,,,
building2,64,0.045671645,2.08,88970,640x512,2.1721,,,,
building2,65,0.045357224,1.7,90508,640x512,2.2096,,,,
building2,66,0.045749935,2.1,91538,640x512,2.2348,,,,
building2,67,0.045314364,1.7,92436,640x512,2.2567,,,,
building2,68,0.046350597,2.14,93412,640x512,2.2805,,,,
building2,69,0.046058606,1.78,94136,640x512,2.2982,,,,
building2,70,0.046302657,2.09,95206,640x512,2.3243,,,,
building2,71,0.046073745,1.73,95490,640x512,2.3312,,,,
building2,72,0.046192986,2.15,96758,640x512,2.3622,,,,
building2,73,0.046188366,1.77,97876,640x512,2.3895,,,,
building2,74,0.046495916,2.18,98838,640x512,2.413,,,,
building2,75,0.046429817,1.74,100116,640x512,2.4442,,,,
building2,76,0.046848187,2.19,103686,640x512,2.5313,,,,
building2,77,0.04787784,1.8,107030,640x512,2.613,,,,
building2,78,0.04778719,2.2,109630,640x512,2.6765,,,,
building2,79,0.048696003,1.82,113150,640x512,2.7624,,,,
building2,80,0.049155953,2.2,117168,640x512,2.8605,,,,
building2,81,0.048979434,1.85,122548,640x512,2.9918,,,,
building2,82,0.050426966,2.23,125652,640x512,3.0676,,,,
building2,83,0.050774407,1.89,130302,640x512,3.1812,,,,
building2,84,0.051639269,2.29,134844,640x512,3.292,,,,
building2,85,0.051023008,2.07,137920,640x512,3.3671,,,,
building2,86,0.054342937,2.32,144296,640x512,3.5228,,,,
building2,87,0.05177252,1.97,148866,640x512,3.6344,,,,
building2,88,0.054007515,2.35,154266,640x512,3.7662,,,,
building2,89,0.054473827,2.08,162130,640x512,3.9582,,,,
building2,90,0.054067536,2.05,166468,640x512,4.0641,,,,
building2,91,0.054942898,2.09,174548,640x512,4.2614,,,,
building2,92,0.056528212,2.18,180380,640x512,4.4038,,,,
building2,93,0.056612792,2.2,187892,640x512,4.5872,,,,
building2,94,0.05942713,2.32,197872,640x512,4.8308,,,,
building2,95,0.058526217,2.28,207244,640x512,5.0596,,,,
building2,96,0.060162721,2.39,214792,640x512,5.2439,,,,
building2,97,0.061770185,2.41,225782,640x512,5.5122,,,,
building2,98,0.063208609,2.5,235596,640x512,5.7518,,,,
building2,99,0.063892581,2.52,249582,640x512,6.0933,,,,
buildings,0,0.036849173,1.39,11080,768x512,0.2254,,,,
buildings,1,0.039187539,1.8,17428,768x512,0.3545,,,,
buildings,2,0.03974933,1.51,19804,768x512,0.4029,,,,
buildings,3,0.040387171,1.88,21514,768x512,0.4377,,,,
buildings,4,0.040622032,1.49,22978,768x512,0.4674,,,,
buildings,5,0.041362434,1.9,24390,768x512,0.4962,,,,
buildings,6,0.040795903,1.56,25390,768x512,0.5165,,,,
buildings,7,0.042099886,1.95,26606,768x512,0.5413,,,,
buildings,8,0.041959285,1.57,27888,768x512,0.5673,,,,
buildings,9,0.041909045,1.91,29008,768x512,0.5901,,,,
buildings,10,0.041786515,1.59,30024,768x512,0.6108,,,,
buildings,11,0.042752427,1.97,31018,768x512,0.631,,,,
buildings,12,0.042029086,1.59,31874,768x512,0.6484,,,,
buildings,13,0.043149188,1.98,33026,768x512,0.6719,,,,
buildings,14,0.042606047,1.6,33996,768x512,0.6916,,,,
buildings,15,0.043040118,1.99,34616,768x512,0.7042,,,,
buildings,16,0.043350178,1.68,35600,768x512,0.7242,,,,
buildings,17,0.043479579,2.04,37088,768x512,0.7545,,,,
buildings,18,0.043184389,1.62,37592,768x512,0.7648,,,,
buildings,19,0.04373694,2.03,38420,768x512,0.7816,,,,
buildings,20,0.043734089,1.67,39550,768x512,0.8046,,,,
buildings,21,0.044686252,2.04,40350,768x512,0.8209,,,,
buildings,22,0.04403111,1.67,41228,768x512,0.8387,,,,
buildings,23,0.044436482,2.06,42122,768x512,0.8569,,,,
buildings,24,0.044830092,2.1,43134,768x512,0.8775,,,,
buildings,25,0.045351954,1.78,44208,768x512,0.8994,,,,
buildings,26,0.045220594,2.12,44778,768x512,0.911,,,,
buildings,27,0.045717525,1.74,46036,768x512,0.9366,,,,
buildings,28,0.045709955,2.12,46476,768x512,0.9455,,,,
buildings,29,0.046022476,1.73,47158,768x512,0.9594,,,,
buildings,30,0.046239326,2.11,48224,768x512,0.9811,,,,
buildings,31,0.045162383,1.71,49330,768x512,1.0036,,,,
buildings,32,0.046464937,2.16,49948,768x512,1.0161,,,,
buildings,33,0.045619984,1.71,50634,768x512,1.0301,,,,
buildings,34,0.046336246,2.1,51918,768x512,1.0562,,,,
buildings,35,0.046541197,1.86,52634,768x512,1.0708,,,,
buildings,36,0.047108968,2.14,53348,768x512,1.0853,,,,
buildings,37,0.046716547,1.78,54452,768x512,1.1078,,,,
buildings,38,0.047116918,2.26,54826,768x512,1.1154,,,,
buildings,39,0.046619607,1.75,55458,768x512,1.1282,,,,
buildings,40,0.047853511,2.21,56060,768x512,1.1405,,,,
buildings,41,0.046645828,1.78,56870,768x512,1.157,,,,
buildings,42,0.04759858,2.19,57102,768x512,1.1617,,,,
buildings,43,0.04785135,1.8,58268,768x512,1.1854,,,,
buildings,44,0.048160851,2.23,58998,768x512,1.2003,,,,
buildings,45,0.048198921,1.79,60208,768x512,1.2249,,,,
buildings,46,0.047841711,2.21,61098,768x512,1.243,,,,
buildings,47,0.048351951,1.8,61540,768x512,1.252,,,,
buildings,48,0.048302381,2.21,62334,768x512,1.2681,,,,
buildings,49,0.04796669,1.87,63616,768x512,1.2942,,,,
buildings,50,0.048531112,2.25,63920,768x512,1.3004,,,,
buildings,51,0.048029361,1.8,64028,768x512,1.3026,,,,
buildings,52,0.048977973,2.24,65536,768x512,1.3333,,,,
buildings,53,0.048515632,1.83,65774,768x512,1.3381,,,,
buildings,54,0.048780422,2.25,66086,768x512,1.3445,,,,
buildings,55,0.048869433,1.82,67886,768x512,1.3811,,,,
buildings,56,0.049326344,2.28,67886,768x512,1.3811,,,,
buildings,57,0.049655185,1.88,69804,768x512,1.4201,,,,
buildings,58,0.049618205,2.22,70132,768x512,1.4268,,,,
buildings,59,0.049011043,1.82,70486,768x512,1.434,,,,
buildings,60,0.049797135,2.27,71568,768x512,1.456,,,,
buildings,61,0.049963616,1.87,72418,768x512,1.4733,,,,
buildings,62,0.049938026,2.27,73278,768x512,1.4908,,,,
buildings,63,0.050307986,1.85,73516,768x512,1.4956,,,,
buildings,64,0.050090716,2.28,74818,768x512,1.5221,,,,
buildings,65,0.049638325,1.88,74994,768x512,1.5257,,,,
buildings,66,0.050377736,2.27,76296,768x512,1.5522,,,,
buildings,67,0.050274316,1.87,76406,768x512,1.5544,,,,
buildings,68,0.050814417,2.27,77674,768x512,1.5802,,,,
buildings,69,0.049611984,1.86,77994,768x512,1.5867,,,,
buildings,70,0.050660787,2.34,80184,768x512,1.6313,,,,
buildings,71,0.051184619,1.97,80452,768x512,1.6368,,,,
buildings,72,0.051379779,2.28,81476,768x512,1.6576,,,,
buildings,73,0.050793948,1.86,82458,768x512,1.6776,,,,
buildings,74,0.051874461,2.31,83682,768x512,1.7025,,,,
buildings,75,0.051053038,1.97,84212,768x512,1.7132,,,,
buildings,76,0.05178588,2.34,88332,768x512,1.7971,,,,
buildings,77,0.052074201,1.94,89674,768x512,1.8244,,,,
buildings,78,0.053336544,2.35,93912,768x512,1.9106,,,,
buildings,79,0.052651652,1.94,96222,768x512,1.9576,,,,
buildings,80,0.055101028,2.45,98888,768x512,2.0118,,,,
buildings,81,0.053191443,2.01,104564,768x512,2.1273,,,,
buildings,82,0.054496757,2.56,108198,768x512,2.2012,,,,
buildings,83,0.054837278,2.02,111268,768x512,2.2637,,,,
buildings,84,0.055261539,2.09,116534,768x512,2.3708,,,,
buildings,85,0.056750383,2.24,121820,768x512,2.4784,,,,
buildings,86,0.056738043,2.15,126402,768x512,2.5716,,,,
buildings,87,0.058002895,2.23,133106,768x512,2.708,,,,
buildings,88,0.058581507,2.26,136834,768x512,2.7838,,,,
buildings,89,0.057983585,2.21,141016,768x512,2.8689,,,,
buildings,90,0.059000418,2.3,150502,768x512,3.0619,,,,
buildings,91,0.060248301,2.29,156234,768x512,3.1785,,,,
buildings,92,0.061925576,2.42,164682,768x512,3.3504,,,,
buildings,93,0.062957048,2.51,180896,768x512,3.6803,,,,
buildings,94,0.065140193,2.68,191230,768x512,3.8905,,,,
buildings,95,0.066068586,2.62,202738,768x512,4.1247,,,,
buildings,96,0.06747559,2.67,211454,768x512,4.302,,,,
buildings,97,0.068754713,2.74,223502,768x512,4.5471,,,,
buildings,98,0.069683935,2.79,235524,768x512,4.7917,,,,
buildings,99,0.070696617,2.85,247362,768x512,5.0325,,,,
caps,0,0.029128063,1.35,3240,768x512,0.0659,,,,
caps,1,0.030495807,1.39,4310,768x512,0.0876,,,,
caps,2,0.030815228,1.44,4756,768x512,0.0967,,,,
caps,3,0.030896608,1.44,5172,768x512,0.1052,,,,
caps,4,0.031321129,1.46,5446,768x512,0.1107,,,,
caps,5,0.031254838,1.46,5714,768x512,0.1162,,,,
caps,6,0.031395479,1.43,5986,768x512,0.1217,,,,
