Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
img_1920x1080_3x8bit_RGB_color_bars_CMYKWRGB,0,2.971193042,112.88,2060,1920x1080,.0079
img_1920x1080_3x8bit_RGB_color_rainbow_gradient,0,2.945598390,102.49,2745,1920x1080,.0105
img_1920x1080_3x8bit_RGB_color_rainbow,0,2.856904933,108.37,629,1920x1080,.0024
img_1920x1080_3x8bit_RGB_color_SMPTE_RP_219_2002,0,2.918579615,110.28,3245,1920x1080,.0125
img_1920x1080_3x8bit_RGB_color_bars_CMYKWRGB,0,2.899413802,105.74,2060,1920x1080,.0079
img_1920x1080_3x8bit_RGB_color_rainbow_gradient,0,2.932488044,107.29,2745,1920x1080,.0105
img_1920x1080_3x8bit_RGB_color_rainbow,0,2.865568718,102.13,629,1920x1080,.0024
img_1920x1080_3x8bit_RGB_color_SMPTE_RP_219_2002,0,2.897825317,103.59,3245,1920x1080,.0125
