Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
building2;97;0,084337006;3,95;221222;640x512;5,4009;97;0,997621103;38,62850629;8,917225138;;;;;
building2;98;0,08598567;4,01;249984;640x512;6,1031;98;0,998399559;40,65165855;5,596474202;;;;;
building2;99;0,087572033;4,12;288142;640x512;7,0347;99;0,998965067;42,64358186;3,537709554;;;;;
buildings;75;0,043356601;2,6;71819;768x512;1,4611;75;0,950737915;32,34545901;37,89085982;;;;;
buildings;76;0,044325954;2,81;73820;768x512;1,5018;76;0,952439553;32,54117955;36,22116428;;;;;
buildings;77;0,041777887;2,57;76049;768x512;1,5472;77;0,954724086;32,74851398;34,53257497;;;;;
buildings;78;0,043370721;2,58;78237;768x512;1,5917;78;0,956742764;32,96547047;32,84984419;;;;;
buildings;79;0,044858085;2,65;80628;768x512;1,6403;79;0,959000196;33,19397671;31,1661165;;;;;
buildings;80;0,044814774;2,67;83405;768x512;1,6968;80;0,961069715;33,44019572;29,44833798;;;;;
buildings;81;0,044352434;2,64;86200;768x512;1,7537;81;0,963278622;33,69787922;27,75188192;;;;;
buildings;82;0,045189275;2,63;89176;768x512;1,8142;82;0,965326751;33,95442856;26,15998586;;;;;
buildings;83;0,045654907;2,65;92426;768x512;1,8804;83;0,967434699;34,24271685;24,47984568;;;;;
buildings;84;0,044373234;2,7;95861;768x512;1,9502;84;0,969656816;34,5395433;22,86262173;;;;;
buildings;85;0,044349414;2,76;99970;768x512;2,0338;85;0,971887494;34,84373868;21,31603834;;;;;
buildings;86;0,046783699;2,79;104236;768x512;2,1206;86;0,974130219;35,17030378;19,77197181;;;;;
buildings;87;0,042795969;2,69;108983;768x512;2,2172;87;0,976280335;35,53349076;18,18575287;;;;;
buildings;88;0,044490844;2,68;113708;768x512;2,3133;88;0,978426426;35,7938772;17,12744734;;;;;
buildings;89;0,047228861;2,77;119794;768x512;2,4372;89;0,980668314;36,19185532;15,62769148;;;;;
buildings;90;0,046121398;2,81;126533;768x512;2,5743;90;0,982859369;36,69652712;13,91321988;;;;;
