Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
building2,28,0.043792845,2.08,104132,640x512,2.5422,,,,,,
building2,29,0.043268674,2.09,99795,640x512,2.4364,,,,,,
building2,30,0.043621965,2.07,95834,640x512,2.3396,,,,,,
building2,31,0.042173622,2.07,89866,640x512,2.1939,,,,,,
building2,32,0.040536288,1.63,84679,640x512,2.0673,,,,,,
building2,33,0.041933991,2.06,80079,640x512,1.955,,,,,,
building2,34,0.042004751,2.06,75849,640x512,1.8517,,,,,,
building2,35,0.040608699,2.06,71146,640x512,1.7369,,,,,,
building2,36,0.040430188,2.05,66539,640x512,1.6244,,,,,,
building2,37,0.039172796,1.9,62551,640x512,1.5271,,,,,,
building2,38,0.038876175,1.99,58630,640x512,1.4313,,,,,,
building2,39,0.038003223,1.81,54745,640x512,1.3365,,,,,,
building2,40,0.037731132,1.81,51134,640x512,1.2483,,,,,,
building2,41,0.037467582,1.77,47399,640x512,1.1572,,,,,,
building2,42,0.03676376,1.77,44145,640x512,1.0777,,,,,,
building2,43,0.036957421,1.7,40912,640x512,0.9988,,,,,,
building2,44,0.035513958,1.77,37985,640x512,0.9273,,,,,,
building2,45,0.035500247,1.87,34952,640x512,0.8533,,,,,,
building2,46,0.035726127,1.9,32254,640x512,0.7874,,,,,,
building2,47,0.035667948,1.84,29787,640x512,0.7272,,,,,,
building2,48,0.035624698,1.82,27294,640x512,0.6663,,,,,,
building2,49,0.035579487,1.98,24881,640x512,0.6074,,,,,,
building2,50,0.034496946,1.85,22676,640x512,0.5536,,,,,,
building2,51,0.033491883,1.64,20765,640x512,0.5069,,,,,,
building2,52,0.033412503,1.69,18876,640x512,0.4608,,,,,,
building2,53,0.032772861,1.61,17161,640x512,0.4189,,,,,,
building2,54,0.033899234,1.74,15504,640x512,0.3785,,,,,,
building2,55,0.033602973,1.78,13936,640x512,0.3402,,,,,,
building2,56,0.032446441,1.79,12468,640x512,0.3043,,,,,,
building2,57,0.033302833,1.74,11146,640x512,0.2721,,,,,,
building2,58,0.034086984,1.74,9862,640x512,0.2407,,,,,,
building2,59,0.031138258,1.46,8630,640x512,0.2106,,,,,,
building2,60,0.030989558,1.56,7496,640x512,0.183,,,,,,
building2,61,0.0319628,1.62,6403,640x512,0.1563,,,,,,
building2,62,0.030138466,1.42,5159,640x512,0.1259,,,,,,
building2,63,0.029438034,1.44,3872,640x512,0.0945,,,,,,
buildings,0,0.091312929,4.36,555238,768x512,11.2963,,,,,,
buildings,1,0.076713588,3.69,415922,768x512,8.4619,,,,,,
buildings,2,0.070722514,3.37,348364,768x512,7.0874,,,,,,
buildings,3,0.066519375,3.08,302664,768x512,6.1577,,,,,,
