Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;ssim;psnr;mse;;avg fs;min fs;max fs;median
artificial;13;1,458615629;61,88;93484;3072x2048;0,1188;0,951330295;32,89024208;33,42382532;;800289,598;22701;21619076;174831
artificial;14;1,432106745;61,58;97136;3072x2048;0,1235;0,954446576;33,13520471;31,59074656;;avg encode time;min time;max time ;median
artificial;15;1,414124253;61,25;101544;3072x2048;0,1291;0,957452349;33,44311167;29,42857234;;1,80288153;0,187528001;18,42037385;1,28354382
artificial;16;1,424610988;61,09;105166;3072x2048;0,1337;0,96008618;33,68685934;27,82238955;;avg bpp;min bpp;max bpp;median 
artificial;17;1,438591611;61,35;108999;3072x2048;0,1385;0,962417579;33,985532;25,97330173;;0,539425952;0,027;7,6472;0,2026
artificial;18;1,430074081;61,29;112455;3072x2048;0,1429;0,964554879;34,1598851;24,95122374;;min energy;max energy;avg energy;median
artificial;19;1,417636231;61,13;116971;3072x2048;0,1487;0,966731404;34,36484394;23,80104182;;12,35;591,4;76,9157969;56,27
artificial;20;1,407726067;61,38;121071;3072x2048;0,1539;0,968642871;34,65214238;22,27748309;;;;;
artificial;21;1,42526962;61,78;124183;3072x2048;0,1579;0,969930304;34,75292362;21,7664698;;;;;
artificial;22;1,412232118;61,07;127799;3072x2048;0,1625;0,971248529;34,96799573;20,71480205;;;;;
artificial;23;1,418870634;60,82;131144;3072x2048;0,1667;0,972670661;35,15163912;19,85712862;;;;;
artificial;24;1,438129971;61,13;135358;3072x2048;0,1721;0,973932126;35,35123617;18,96517017;;;;;
artificial;25;1,422615153;61,56;138001;3072x2048;0,1754;0,974827556;35,47337101;18,43925031;;;;;
artificial;26;1,417972671;61,52;142116;3072x2048;0,1807;0,975867803;35,61041504;17,8664742;;;;;
artificial;27;1,422768163;61,32;144997;3072x2048;0,1843;0,976656037;35,79393868;17,1272049;;;;;
artificial;28;1,443877084;63,03;147933;3072x2048;0,1881;0,977351792;35,9234774;16,62388865;;;;;
artificial;29;1,443885114;61,46;149144;3072x2048;0,1896;0,977684157;35,99618388;16,34790002;;;;;
artificial;30;1,432109585;61,56;150878;3072x2048;0,1918;0,978097213;36,02833472;16,22732332;;;;;
artificial;31;1,450181099;61,81;152454;3072x2048;0,1938;0,978457618;36,15593702;15,75747617;;;;;
artificial;32;1,427017853;61,5;153862;3072x2048;0,1956;0,978777258;36,22851747;15,49632136;;;;;
artificial;33;1,434167811;61,33;155622;3072x2048;0,1978;0,979095639;36,23963988;15,4566856;;;;;
artificial;34;1,428970278;61,34;157510;3072x2048;0,2002;0,979419141;36,33544189;15,11945624;;;;;
artificial;35;1,423956327;61,37;159366;3072x2048;0,2026;0,979813504;36,44700453;14,73601002;;;;;
artificial;36;1,430560782;61,09;159717;3072x2048;0,203;0,980058782;36,44962424;14,72712379;;;;;
artificial;37;1,436629337;63,56;161359;3072x2048;0,2051;0,98030988;36,4978795;14,56439373;;;;;
artificial;38;1,43768645;60,9;163336;3072x2048;0,2076;0,980653773;36,6266545;14,13887681;;;;;
artificial;39;1,448769396;61,81;165505;3072x2048;0,2104;0,980974412;36,6584018;14,03589725;;;;;
artificial;40;1,442864482;62,32;167520;3072x2048;0,213;0,981406592;36,75833401;13,71661536;;;;;
artificial;41;1,435423764;61,72;169404;3072x2048;0,2154;0,98171917;36,85393226;13,41797982;;;;;
artificial;42;1,449059077;61,94;171602;3072x2048;0,2182;0,982031702;36,89084032;13,3044317;;;;;
artificial;43;1,436932307;62,01;173878;3072x2048;0,221;0,982358422;37,00552163;12,95770825;;;;;
artificial;44;1,440152275;62,97;174793;3072x2048;0,2222;0,982588193;37,06203323;12,79019123;;;;;
artificial;45;1,441447158;61,91;177070;3072x2048;0,2251;0,982852987;37,10931768;12,65169149;;;;;
artificial;46;1,439001602;61,94;179664;3072x2048;0,2284;0,983191498;37,23008134;12,30473391;;;;;
artificial;47;1,432725607;62,61;182014;3072x2048;0,2314;0,983531481;37,30416946;12,09660265;;;;;
artificial;48;1,427528345;62,15;184488;3072x2048;0,2345;0,983814899;37,4114748;11,80138233;;;;;
artificial;49;1,424534888;61,16;187402;3072x2048;0,2382;0,984081324;37,44626732;11,70721594;;;;;
artificial;50;1,447337853;61,54;189724;3072x2048;0,2412;0,984383287;37,56486962;11,39182748;;;;;
artificial;51;1,445439777;61,27;190797;3072x2048;0,2426;0,984663393;37,62065872;11,24642494;;;;;
artificial;52;1,439005812;61,5;193810;3072x2048;0,2464;0,984857441;37,69461931;11,05651935;;;;;
artificial;53;1,439943025;61,48;196686;3072x2048;0,25;0,985207574;37,82014909;10,74151283;;;;;
artificial;54;1,437877349;61,63;199618;3072x2048;0,2538;0,985499837;37,89863825;10,54912737;;;;;
artificial;55;1,427257394;61,88;202417;3072x2048;0,2573;0,985911722;38,01051175;10,28085385;;;;;
artificial;56;1,452417235;61,41;205466;3072x2048;0,2612;0,986219321;38,09867461;10,07425409;;;;;
artificial;57;1,454168818;61,54;208940;3072x2048;0,2656;0,985028038;37,81996897;10,74195835;;;;;
artificial;58;1,44210344;61,92;210425;3072x2048;0,2675;0,985213551;37,87533917;10,60587353;;;;;
artificial;59;1,449747178;61,98;214599;3072x2048;0,2728;0,985534702;37,96353833;10,39265543;;;;;
artificial;60;1,431115863;61,79;217966;3072x2048;0,2771;0,985964754;38,12081029;10,02303696;;;;;
artificial;61;1,446698221;62,78;222000;3072x2048;0,2822;0,986228418;38,21387165;9,810546398;;;;;
artificial;62;1,430677862;62,55;225980;3072x2048;0,2873;0,986618125;38,31480524;9,585170375;;;;;
artificial;63;1,430441872;61,54;230093;3072x2048;0,2925;0,987051737;38,45808751;9,274096489;;;;;
artificial;64;1,43803657;61,63;234161;3072x2048;0,2977;0,987340456;38,58012213;9,017126189;;;;;
artificial;65;1,444797756;61,53;236854;3072x2048;0,3011;0,987633193;38,6601672;8,852453232;;;;;
artificial;66;1,435605504;61,53;241331;3072x2048;0,3068;0,987987817;38,81019406;8,551867326;;;;;
artificial;67;1,449427857;62,31;246162;3072x2048;0,313;0,988355716;38,90542538;8,366384559;;;;;
artificial;68;1,355475212;58,47;250995;3072x2048;0,3191;0,988770379;39,09931493;8,001084699;;;;;
artificial;69;1,35890972;58,17;256544;3072x2048;0,3262;0,989037165;39,20223328;7,813705391;;;;;
artificial;70;1,391676189;58,01;262119;3072x2048;0,3333;0,989419927;39,36507399;7,526151604;;;;;
artificial;71;1,3669167;57,65;267807;3072x2048;0,3405;0,989788167;39,5284693;7,248254458;;;;;
artificial;72;1,360385564;57,64;272040;3072x2048;0,3459;0,99003409;39,60124869;7,127799776;;;;;
artificial;73;1,365403526;58,22;278725;3072x2048;0,3544;0,990359602;39,77486014;6,84848245;;;;;
artificial;74;1,379167129;58,02;285342;3072x2048;0,3628;0,99070635;39,95844989;6,5650097;;;;;
artificial;75;1,359916062;58,47;293298;3072x2048;0,3729;0,991106027;40,11861224;6,32731035;;;;;
artificial;76;1,374193146;57,55;300818;3072x2048;0,3825;0,991492566;40,33376365;6,021490362;;;;;
artificial;77;1,353562047;57,91;309193;3072x2048;0,3931;0,991835874;40,56885358;5,704203394;;;;;
artificial;78;1,373176155;57,85;315889;3072x2048;0,4016;0,992116435;40,6931092;5,543313503;;;;;
artificial;79;1,352657075;58,75;324804;3072x2048;0,413;0,992462956;40,91777284;5,263844808;;;;;
artificial;80;1,35478808;58,23;335008;3072x2048;0,4259;0,992827214;41,13760676;5,004027473;;;;;
artificial;81;1,362702279;58,49;345099;3072x2048;0,4388;0,99315047;41,36170388;4,75236702;;;;;
artificial;82;1,356547604;57,57;356635;3072x2048;0,4534;0,993478938;41,59547552;4,503320005;;;;;
artificial;83;1,368667804;58,56;366308;3072x2048;0,4657;0,993700462;41,78115894;4,314837721;;;;;
artificial;84;1,364533663;58,07;379739;3072x2048;0,4828;0,994074931;42,05411981;4,051990138;;;;;
artificial;85;1,353858468;57,49;393727;3072x2048;0,5006;0,994228372;42,20749865;3,911384371;;;;;
artificial;86;1,369986117;57,87;409786;3072x2048;0,521;0,99457734;42,48866856;3,666177644;;;;;
artificial;87;1,386808017;58,89;426455;3072x2048;0,5422;0,994943512;42,79865888;3,413614485;;;;;
artificial;88;1,373617916;57,26;440615;3072x2048;0,5602;0,995114389;42,83708686;3,383542803;;;;;
artificial;89;1,371764581;58,55;462540;3072x2048;0,5881;0,99549509;43,1981917;3,113588333;;;;;
artificial;90;1,365400286;57,93;486406;3072x2048;0,6184;0,995887591;43,60435246;2,835600959;;;;;
artificial;91;1,376316192;58,45;514212;3072x2048;0,6538;0,996267367;44,04489684;2,562068144;;;;;
artificial;92;1,389812624;58,53;543539;3072x2048;0,6911;0,996605087;44,53527887;2,288508203;;;;;
artificial;93;1,380490001;58,74;579150;3072x2048;0,7364;0,996981248;45,05254457;2,03154246;;;;;
artificial;94;1,384538711;58,49;621546;3072x2048;0,7903;0,997166631;45,53863788;1,816421244;;;;;
artificial;95;1,376182432;58,94;672127;3072x2048;0,8546;0,997574106;46,29448204;1,526272774;;;;;
artificial;96;1,394190425;59,19;738291;3072x2048;0,9387;0,99797192;47,13254569;1,25842052;;;;;
artificial;97;1,399334927;59,49;823213;3072x2048;1,0467;0,998369489;48,19647319;0,984992769;;;;;
artificial;98;1,390377456;59,9;960166;3072x2048;1,2209;0,99882895;49,97985934;0,653272576;;;;;
artificial;99;1,391234237;60,05;1170112;3072x2048;1,4878;0,999227849;52,01610206;0,40876166;;;;;
big_building;50;7,054178504;290,85;1856353;7216x5412;0,3802;0,950238818;33,51448172;28,94890817;;;;;
big_building;51;7,059904027;290,54;1869825;7216x5412;0,383;0,950964184;33,54903948;28,71946945;;;;;
big_building;52;7,014658265;293,73;1900140;7216x5412;0,3892;0,951804083;33,60885854;28,32660369;;;;;
big_building;53;7,043603911;294,29;1931580;7216x5412;0,3956;0,952626397;33,67198482;27,9178442;;;;;
big_building;54;7,070434801;293,07;1963664;7216x5412;0,4022;0,953430856;33,73264976;27,5305815;;;;;
big_building;55;7,0565033;293,35;1997137;7216x5412;0,4091;0,954238984;33,79340516;27,14812529;;;;;
big_building;56;7,032487338;293,3;2032624;7216x5412;0,4163;0,955079687;33,85861219;26,74355531;;;;;
big_building;57;7,073526679;292,75;2068729;7216x5412;0,4237;0,955951908;33,91602656;26,39232828;;;;;
big_building;58;7,025553192;295,69;2089627;7216x5412;0,428;0,956659889;33,95675122;26,14599889;;;;;
big_building;59;6,98025707;291,38;2128199;7216x5412;0,4359;0,957438122;34,02131869;25,76015617;;;;;
big_building;60;7,064900428;292,93;2168830;7216x5412;0,4442;0,958205663;34,08626537;25,37779145;;;;;
big_building;61;7,062112282;293,45;2210605;7216x5412;0,4528;0,959008089;34,15509365;24,97876695;;;;;
big_building;62;7,030532901;294,87;2254243;7216x5412;0,4617;0,959776051;34,22314307;24,59042605;;;;;
