Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
img_15360x8640_3x8bit_RGB_color_bars_CMYKWRGB,63,4.911026628,188.41,5595,15360x8640,.0003
img_15360x8640_3x8bit_RGB_color_rainbow_gradient,63,4.706207939,171.57,20373,15360x8640,.0012
img_15360x8640_3x8bit_RGB_color_rainbow,63,4.915906722,177.13,25064,15360x8640,.0015
img_15360x8640_3x8bit_RGB_color_SMPTE_RP_219_2002,63,4.833550653,174.44,12840,15360x8640,.0007
