Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
building2;74;0,0099024;0,49;291997;640x512;7,1288;74;0,965245176;31,61143765;44,86798808;;;;;
building2;75;0,010675342;0,52;294630;640x512;7,1931;75;0,966336991;31,77578565;43,20179545;;;;;
building2;76;0,00997084;0,46;301338;640x512;7,3568;76;0,968043247;32,04048764;40,64729004;;;;;
building2;77;0,010608482;0,54;310151;640x512;7,572;77;0,969690835;32,29706545;38,31543986;;;;;
building2;78;0,012127266;0,55;317438;640x512;7,7499;78;0,97112427;32,53673681;36,25823669;;;;;
building2;79;0,010358021;0,48;323382;640x512;7,895;79;0,972468585;32,77770991;34,30120443;;;;;
building2;80;0,010741352;0,44;331269;640x512;8,0876;80;0,974012989;33,07303304;32,0462382;;;;;
building2;81;0,012153767;0,6;341125;640x512;8,3282;81;0,97575159;33,4008614;29,71626485;;;;;
building2;82;0,010641302;0,51;349142;640x512;8,5239;82;0,977173405;33,71549253;27,63955892;;;;;
building2;83;0,010871552;0,53;360695;640x512;8,806;83;0,978676616;34,0549456;25,56146851;;;;;
building2;84;0,010919213;0,5;370317;640x512;9,0409;84;0,980250428;34,42781249;23,45843913;;;;;
building2;85;0,011180414;0,56;379735;640x512;9,2708;85;0,981800945;34,83122632;21,37754008;;;;;
building2;86;0,011441525;0,56;394372;640x512;9,6282;86;0,983462235;35,28986135;19,23509013;;;;;
building2;87;0,011540045;0,59;404855;640x512;9,8841;87;0,984924612;35,74421831;17,32441305;;;;;
building2;88;0,011788425;0,52;421087;640x512;10,2804;88;0,986600582;36,30682045;15,21942749;;;;;
building2;89;0,011849905;0,51;435077;640x512;10,6219;89;0,988078365;36,86583148;13,38126628;;;;;
building2;90;0,012042526;0,55;455439;640x512;11,1191;90;0,98966842;37,55416067;11,41995239;;;;;
building2;91;0,012351347;0,59;472650;640x512;11,5393;91;0,99110366;38,26384147;9,698313395;;;;;
building2;92;0,012493757;0,54;491345;640x512;11,9957;92;0,99269281;39,17984242;7,854094442;;;;;
building2;93;0,012941739;0,61;520151;640x512;12,6989;93;0,994030568;40,13685398;6,300789388;;;;;
building2;94;0,013077389;0,55;553727;640x512;13,5187;94;0,995430758;41,36233594;4,751675415;;;;;
building2;95;0,013823432;0,69;590559;640x512;14,4179;95;0,996605603;42,73242452;3,466074626;;;;;
building2;96;0,014053692;0,61;633693;640x512;15,471;96;0,997721877;44,52958795;2,291508993;;;;;
building2;97;0,014442543;0,65;681317;640x512;16,6337;97;0,998575856;46,72637625;1,381792196;;;;;
building2;98;0,015440836;0,69;730845;640x512;17,8428;98;0,999267852;49,87456019;0,66930542;;;;;
building2;99;0,016072728;0,78;800873;640x512;19,5525;99;0,999717539;54,53764453;0,228726196;;;;;
buildings;70;0,01005848;0,47;254787;768x512;5,1836;70;0,950581885;32,44744718;37,01141103;;;;;
buildings;71;0,010176991;0,46;259565;768x512;5,2808;71;0,951945834;32,61052172;35,64742703;;;;;
buildings;72;0,01028912;0,49;263620;768x512;5,3633;72;0,953134498;32,76014098;34,44024743;;;;;
buildings;73;0,012205286;0,62;268915;768x512;5,471;73;0,954403559;32,91893639;33,2037184;;;;;
buildings;74;0,010549112;0,45;276843;768x512;5,6323;74;0,956090819;33,1259817;31,65790643;;;;;
buildings;75;0,010526891;0,5;279337;768x512;5,6831;75;0,95708055;33,26358796;30,67055003;;;;;
buildings;76;0,010790623;0,52;285723;768x512;5,813;76;0,958654451;33,49479044;29,08046299;;;;;
buildings;77;0,010814802;0,54;294785;768x512;5,9974;77;0,960370935;33,73016295;27,54635027;;;;;
buildings;78;0,010675181;0,5;301952;768x512;6,1432;78;0,961667191;33,93702657;26,26501804;;;;;
buildings;79;0,010889732;0,56;307888;768x512;6,2639;79;0,963112591;34,15316617;24,98985545;;;;;
buildings;80;0,011068663;0,5;315841;768x512;6,4258;80;0,964668925;34,41188564;23,54462602;;;;;
buildings;81;0,011085703;0,49;326012;768x512;6,6327;81;0,966534952;34,70790571;21,99326918;;;;;
buildings;82;0,011209024;0,52;333861;768x512;6,7924;82;0,9681016;34,97966272;20,65922801;;;;;
buildings;83;0,011819246;0,55;345990;768x512;7,0391;83;0,969767911;35,28003053;19,27868059;;;;;
buildings;84;0,011644625;0,54;356041;768x512;7,2436;84;0,971486297;35,60430937;17,89161004;;;;;
buildings;85;0,012375137;0,53;366259;768x512;7,4515;85;0,973161408;35,95584569;16,50045013;;;;;
buildings;86;0,011775055;0,57;381573;768x512;7,7631;86;0,975061403;36,36801898;15,00646718;;;;;
buildings;87;0,012265316;0,63;392537;768x512;7,9861;87;0,976771362;36,76522689;13,69486237;;;;;
buildings;88;0,012505968;0,54;410776;768x512;8,3572;88;0,978894942;37,26267892;12,21272193;;;;;
buildings;89;0,012720338;0,59;425810;768x512;8,6631;89;0,980770097;37,76274707;10,88442908;;;;;
buildings;90;0,012854079;0,55;447930;768x512;9,1131;90;0,982865683;38,35548278;9,495811462;;;;;
buildings;91;0,01323316;0,68;467108;768x512;9,5033;91;0,984807722;38,96894513;8,244908651;;;;;
buildings;92;0,01361585;0,69;488350;768x512;9,9355;92;0,987061932;39,75324639;6,882650587;;;;;
buildings;93;0,013937341;0,68;521561;768x512;10,6111;93;0,98914693;40,61303143;5,646472507;;;;;
buildings;94;0,014679264;0,67;560279;768x512;11,3989;94;0,9913312;41,70469418;4,39148034;;;;;
buildings;95;0,015452696;0,69;604697;768x512;12,3025;95;0,993420259;42,9460027;3,299742805;;;;;
buildings;96;0,016017438;0,73;657478;768x512;13,3764;96;0,995526203;44,66029704;2,223569234;;;;;
buildings;97;0,017929333;0,83;717034;768x512;14,588;97;0,997198814;46,7555671;1,372535706;;;;;
buildings;98;0,017402671;0,77;783298;768x512;15,9362;98;0,99856725;49,85999055;0,671554565;;;;;
buildings;99;0,018248244;0,84;872143;768x512;17,7437;99;0,999434451;54,58275994;0,22636244;;;;;
caps;59;0,006931241;0,29;84526;768x512;1,7196;59;0,950227446;36,86684599;13,37814077;;;;;
caps;60;0,007070841;0,33;85592;768x512;1,7413;60;0,950980179;36,94689371;13,13381788;;;;;
caps;61;0,007045901;0,36;87825;768x512;1,7868;61;0,9519449;37,05136207;12,82165697;;;;;
caps;62;0,006959321;0,32;88880;768x512;1,8082;62;0,952610307;37,12892495;12,59470113;;;;;
caps;63;0,00696508;0,32;91099;768x512;1,8534;63;0,953732056;37,24102117;12,27377743;;;;;
caps;64;0,007405142;0,36;92236;768x512;1,8765;64;0,954416579;37,32081105;12,05033875;;;;;
caps;65;0,007172161;0,32;94751;768x512;1,9277;65;0,955506304;37,43675934;11,73287455;;;;;
caps;66;0,007861323;0,38;96214;768x512;1,9574;66;0,956397525;37,53777701;11,46311527;;;;;
caps;67;0,007201332;0,37;98028;768x512;1,9943;67;0,957455439;37,65290189;11,16323768;;;;;
caps;68;0,007280882;0,32;100902;768x512;2,0528;68;0,958467347;37,77339237;10,85778215;;;;;
caps;69;0,007320022;0,32;102731;768x512;2,09;69;0,959234943;37,88221785;10,58908844;;;;;
caps;70;0,007743173;0,37;105510;768x512;2,1466;70;0,960334336;38,03144633;10,23141564;;;;;
caps;71;0,007501943;0,37;107797;768x512;2,1931;71;0,961199506;38,17076208;9,908414205;;;;;
caps;72;0,007603932;0,35;109632;768x512;2,2304;72;0,962149833;38,28616428;9,648591783;;;;;
caps;73;0,007919844;0,38;112754;768x512;2,2939;73;0,963044576;38,41248751;9,371985541;;;;;
caps;74;0,007514242;0,36;116934;768x512;2,379;74;0,96441293;38,61098352;8,95327674;;;;;
caps;75;0,007626132;0,38;117547;768x512;2,3914;75;0,964867496;38,70144327;8,7687166;;;;;
caps;76;0,007557302;0,32;120656;768x512;2,4547;76;0,965892357;38,87860019;8,418221368;;;;;
caps;77;0,007942884;0,36;125779;768x512;2,5589;77;0,967357883;39,09975234;8,000278897;;;;;
caps;78;0,015110745;0,7;129960;768x512;2,644;78;0,968255418;39,26708016;7,697901408;;;;;
caps;79;0,010284641;0,46;132746;768x512;2,7007;79;0,96923411;39,43361963;7,408297221;;;;;
caps;80;0,008389275;0,38;136893;768x512;2,785;80;0,970322817;39,64492116;7,056482103;;;;;
caps;81;0,008101074;0,41;142550;768x512;2,9001;81;0,971712253;39,89750415;6,657787747;;;;;
caps;82;0,008276775;0,38;146626;768x512;2,9831;82;0,972652573;40,11559871;6,331702338;;;;;
caps;83;0,009230388;0,42;153883;768x512;3,1307;83;0,973918404;40,36586517;5,977145725;;;;;
caps;84;0,009250687;0,5;159279;768x512;3,2405;84;0,975087734;40,63866641;5,613241408;;;;;
caps;85;0,008956717;0,36;163639;768x512;3,3292;85;0,976151399;40,90260757;5,282257928;;;;;
caps;86;0,008625846;0,34;173092;768x512;3,5215;86;0,977521256;41,24505401;4,881743537;;;;;
caps;87;0,008701736;0,42;178645;768x512;3,6345;87;0,978503851;41,54765677;4,553178575;;;;;
