Filename,q_flag,Time,Energy,File Size,Resolution,bpp
img_7680x4320_3x8bit_RGB_color_bars_CMYKWRGB,0,0.926060843,39.53,108025,7680x4320,.0260
img_7680x4320_3x8bit_RGB_color_rainbow_gradient,0,1.764796001,68.47,3415543,7680x4320,.8235
img_7680x4320_3x8bit_RGB_color_rainbow,0,0.969939524,40.78,244078,7680x4320,.0588
img_7680x4320_3x8bit_RGB_color_SMPTE_RP_219_2002,0,0.922757852,39.59,224124,7680x4320,.0540
