Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
img_1920x1080_3x8bit_RGB_color_bars_CMYKWRGB,0,0.128068986,5.54,5664,1920x1080,.0218
img_1920x1080_3x8bit_RGB_color_rainbow_gradient,0,0.101699363,4.03,8944,1920x1080,.0345
img_1920x1080_3x8bit_RGB_color_rainbow,0,0.090129600,3.43,7162,1920x1080,.0276
img_1920x1080_3x8bit_RGB_color_SMPTE_RP_219_2002,0,0.126985243,5.50,6196,1920x1080,.0239
